,root_control_1,root_control_2,root_control_3,root_IAA_1,root_IAA_2,root_IAA_3
AT3G14190,2360.68111704639,2340.50268378097,1774.6257650054,1976.53997819699,2435.40569539759,1605.10748726052
AT3G14200,2389.87504130837,2741.4170258498,2714.92510399879,2547.07737150184,4851.02827484282,2468.92094576699
AT3G14205,3458.97668152298,3761.32548946447,3737.64781975545,3287.28762438084,2865.428163204,3153.58834732455
AT3G14210,191.270538268151,213.674127366357,171.57519244602,149.828080676579,208.243325814244,216.2107583866
AT3G14220,3258.64595986318,3371.42527767225,2799.03059049193,2762.39322254037,3007.03362475769,2543.05034864239
AT3G14225,76.5082153072604,57.2734774384048,81.5823218983526,50.6041861887783,27.0716323558517,35.0055513578305
AT3G14230,10557.1270253584,11456.8983137363,9682.22360509108,11161.6958909327,11471.0836024776,10835.2477202885
AT3G14240,3945.20652354149,4265.7726561335,4783.9200717302,4021.54444359056,3948.29345743807,5534.99541469696
AT3G14250,1.00668704351658,0,0,1.98447788975601,0,4.11830015974477
AT3G14260,482.203093844444,327.119669215505,486.12971193039,88.3092660941426,62.4729977442732,147.229230710875
AT3G14270,5719.99578126123,4833.00036537924,5541.71050503346,5759.94707501683,3316.27496359184,5124.19497376242
AT3G14280,3046.23499368118,2720.49017832423,2398.68847478455,2126.36805887357,1826.29396739092,1831.61399604648
AT3G14290,7030.70231191982,7324.39663394985,5988.31063831207,6443.59970803778,8028.82142676818,5960.20990619061
AT3G14300,33.2206724360473,27.5353256915408,26.913755677807,7.93791155902405,12.4945995488546,10.2957503993619
AT3G14310,22553.8165229456,19461.968198781,26191.2895488309,21984.0460627171,22514.227170407,28877.5207201303
AT3G14320,3.02006113054975,0,5.04632918958882,35.7206020156082,6.24729977442732,26.768951038341
AT3G14330,479.183032713894,442.768037119976,469.30861463176,520.925446060954,396.703535676135,447.865142372243
AT3G14340,1442.58253335926,1034.22683297427,1130.3777384679,1458.59124897067,1679.48242269188,1018.24971449689
AT3G14350,8075.64346309004,6699.89544726571,7694.81095925802,9274.45741777473,6600.27221168247,7816.53370319557
AT3G14360,1050.98127343131,1116.83281004889,917.590857640234,1078.56373308239,1216.14102275519,916.32178554321
AT3G14362,330.19335027344,302.888582606949,291.004983266289,3645.4858834818,3247.55466607314,2583.2037751999
AT3G14370,344.286968882672,413.029885373112,396.977896247654,481.235888265833,299.870389172512,428.303216613456
AT3G14380,2.01337408703317,11.0141302766163,1.68210972986294,6.94567261414605,10.4121662907122,6.17745023961715
AT3G14385,0,0,0,0,0,0
AT3G14390,4991.15436175522,5136.99036101385,4397.87588872666,5442.43061265587,5772.50499157085,4890.48143969691
AT3G14395,164.089988093203,131.068150291734,227.925868396428,62.5110535273144,64.5554310024157,98.8392038338744
AT3G14400,6296.82745719623,6435.55632062691,5974.85376047316,6637.08630228899,5831.85433942791,6222.75154137434
AT3G14410,1967.06648303141,1917.5600811589,1922.65142123334,2016.22953599211,1832.54126716535,1897.5067986024
AT3G14415,2393.90178948244,2512.32311609618,2127.86880827662,1823.73518068578,1790.8926020025,1861.47167220463
AT3G14420,266.772066531895,91.4172812959154,59.7148954101344,159.750470125359,104.121662907122,149.288380790748
